mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.053015232086182,1.3969188351181918,0.269054651260376,0.029717381479057243,15,sqrt,10,200,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",-241.03749909151236,-200.11582478034788,-278.30323668476603,-239.81885351887544,31.9315065711132,63
10.042105833689371,3.5651578336493834,0.5223666032155355,0.06474638362811846,15,sqrt,10,500,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 500}",-236.96166848688952,-201.2296235910818,-277.5297749826236,-238.57368902019832,31.1702554073902,52
2.7087212403615317,1.0341546659831762,0.19060166676839194,0.009682940505267417,15,0.3,2,100,"{'max_depth': 15, 'max_features': 0.3, 'min_samples_split': 2, 'n_estimators': 100}",-237.813794547394,-201.67316609594636,-274.38496920177147,-237.9573099483706,29.684642777344287,48
4.913504362106323,1.763351208327815,0.31798815727233887,0.030707912926210234,15,0.3,2,200,"{'max_depth': 15, 'max_features': 0.3, 'min_samples_split': 2, 'n_estimators': 200}",-235.33043584135453,-199.20873482613482,-271.99648907629586,-235.5118865812617,29.715753234872114,40
12.236964305241903,4.223433594651253,0.617082675298055,0.09659144001267957,15,0.3,2,500,"{'max_depth': 15, 'max_features': 0.3, 'min_samples_split': 2, 'n_estimators': 500}",-233.72363825034972,-199.44643058355345,-272.82679808164653,-235.33228897184992,29.97899710793804,38
2.244140386581421,0.9635984294631562,0.15615359942118326,0.02932569815481708,15,0.3,5,100,"{'max_depth': 15, 'max_features': 0.3, 'min_samples_split': 5, 'n_estimators': 100}",-243.7787228672836,-203.74798677866477,-275.72873867701446,-241.0851494409876,29.44767862175307,72
4.598827759424846,1.5717600067979944,0.2722294330596924,0.03856082798636592,15,0.3,5,200,"{'max_depth': 15, 'max_features': 0.3, 'min_samples_split': 5, 'n_estimators': 200}",-237.41570477030416,-201.29846992709182,-274.175534619484,-237.62990310562665,29.752322601100342,46
10.843854427337646,3.992682029316287,0.5977091789245605,0.10081460701239772,15,0.3,5,500,"{'max_depth': 15, 'max_features': 0.3, 'min_samples_split': 5, 'n_estimators': 500}",-233.60555883821607,-200.03733380265908,-272.2821335913429,-235.30834207740602,29.518382715369114,37
2.204091707865397,0.7433657657710093,0.16267681121826172,0.04654641819718143,15,0.3,10,100,"{'max_depth': 15, 'max_features': 0.3, 'min_samples_split': 10, 'n_estimators': 100}",-243.97352867122214,-201.9413969649426,-283.2135480002543,-243.04282454547305,33.18574283337042,79
4.0196638107299805,1.3580051410035923,0.28825823465983075,0.03554638557110274,15,0.3,10,200,"{'max_depth': 15, 'max_features': 0.3, 'min_samples_split': 10, 'n_estimators': 200}",-241.03749909151236,-200.11582478034785,-278.303236684766,-239.8188535188754,31.931506571113186,62
10.37259324391683,3.7185789032892864,0.5033669471740723,0.018744840508482415,15,0.3,10,500,"{'max_depth': 15, 'max_features': 0.3, 'min_samples_split': 10, 'n_estimators': 500}",-236.96166848688947,-201.2296235910818,-277.5297749826236,-238.57368902019832,31.1702554073902,52
3.7320518493652344,1.4665609997450229,0.20130244890848795,0.004948806283997863,15,0.5,2,100,"{'max_depth': 15, 'max_features': 0.5, 'min_samples_split': 2, 'n_estimators': 100}",-228.31526277619193,-196.53993725522423,-256.27263255460633,-227.04261086200754,24.402369476524395,22
7.400966962178548,3.053563363144752,0.35430248578389484,0.0325443111505405,15,0.5,2,200,"{'max_depth': 15, 'max_features': 0.5, 'min_samples_split': 2, 'n_estimators': 200}",-226.8663964539561,-194.40681663315507,-253.79917243796555,-225.0241285083589,24.281796273461488,5
18.96181074778239,6.936538579047548,0.6276082197825114,0.08824990182497866,15,0.5,2,500,"{'max_depth': 15, 'max_features': 0.5, 'min_samples_split': 2, 'n_estimators': 500}",-226.03676748711266,-193.4091774973391,-253.32843879463456,-224.2581279263621,24.494246094660582,3
3.4715112845102944,1.3472420306810442,0.2023195425669352,0.02032268362555643,15,0.5,5,100,"{'max_depth': 15, 'max_features': 0.5, 'min_samples_split': 5, 'n_estimators': 100}",-229.57613523083518,-194.13337105387546,-257.12263696861015,-226.94404775110692,25.782524035930436,21
6.765149672826131,2.571175029802987,0.3169216314951579,0.03351358799091929,15,0.5,5,200,"{'max_depth': 15, 'max_features': 0.5, 'min_samples_split': 5, 'n_estimators': 200}",-228.09007722807686,-193.03966926382256,-254.98397372874302,-225.37124007354748,25.36162810908543,12
16.145586490631104,6.220172825340813,0.6722149054209391,0.04146415874994174,15,0.5,5,500,"{'max_depth': 15, 'max_features': 0.5, 'min_samples_split': 5, 'n_estimators': 500}",-227.9436477761046,-193.00261070544855,-254.15061406753597,-225.03229084969635,25.048307702746076,6
3.2205440203348794,1.2915810597633817,0.18092878659566244,0.011646247627119799,15,0.5,10,100,"{'max_depth': 15, 'max_features': 0.5, 'min_samples_split': 10, 'n_estimators': 100}",-226.99532201103554,-193.7066196548326,-255.81447056517186,-225.50547074368,25.377299945349627,14
6.070334434509277,2.2403368330127007,0.28882940610249835,0.03363185349355189,15,0.5,10,200,"{'max_depth': 15, 'max_features': 0.5, 'min_samples_split': 10, 'n_estimators': 200}",-227.08396565332706,-192.23701627812096,-254.95377299661513,-224.75825164268772,25.656767821456114,4
15.057149728139242,5.809241136800756,0.5794612566630045,0.048097060035102265,15,0.5,10,500,"{'max_depth': 15, 'max_features': 0.5, 'min_samples_split': 10, 'n_estimators': 500}",-227.5457698107508,-193.20092685894932,-255.08427907612344,-225.2769919152745,25.314657615209924,11
3.1068553924560547,1.081494297038995,0.2268549601236979,0.024113005178656683,20,sqrt,2,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",-234.23019857033614,-202.78555088786376,-267.88507972595033,-234.96694306138343,26.58187675928887,34
5.968692859013875,2.1779222173534722,0.3510425090789795,0.04660673215440068,20,sqrt,2,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",-231.95288374280088,-202.50058677320337,-270.1219742250083,-234.8584815803375,27.68266466367117,32
14.591862916946411,5.362747568308889,0.7064119974772135,0.10605104022337843,20,sqrt,2,500,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500}",-231.38747708678616,-201.78240302798233,-269.80798079805453,-234.32595363760765,27.848947210117075,28
2.6325692335764566,0.9769785568629896,0.19927827517191568,0.028710787017420924,20,sqrt,5,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",-238.34875772908046,-206.64872184574955,-271.4297192141159,-238.80906626298193,26.448734285656073,54
4.841196695963542,1.7955029309614936,0.2767777442932129,0.015459175613679233,20,sqrt,5,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",-236.69519065971488,-203.60507493019824,-269.4275020933877,-236.57592256110027,26.87202570298533,42
11.293871561686197,3.63131271306776,0.5601877371470133,0.04489808322399705,20,sqrt,5,500,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 500}",-233.50788442322988,-201.60164334258718,-269.36384429102907,-234.82445735228202,27.67946281454163,30
